Map from character to field name
A:	Brazil
B:	Cape Verde
C:	China
D:	Colombia
E:	Indonesia
F:	Mexico
G:	Panama
H:	Peru
I:	Suriname
J:	Thailand
K:	United States (USA)
L:	?


Substitution rate (mu): 406.973922

Equilibrium frequencies (pi_i):
  A: 0.1207
  B: 0.0853
  C: 0.0845
  D: 0.0906
  E: 0.0985
  F: 0.083
  G: 0.0875
  H: 0.0906
  I: 0.0878
  J: 0.0901
  K: 0.0813

Symmetrized rates from j->i (W_ij):
	A	B	C	D	E	F	G	H	I	J	K
  A	0	1.4101	1.4424	1.1757	1.1377	1.4877	1.3905	1.1757	1.3253	1.1787	2.0524
  B	1.4101	0	0.9925	0.9741	0.988	0.9722	0.9743	0.9741	1.2685	0.9849	0.9728
  C	1.4424	0.9925	0	0.9894	1.18	0.9873	0.9899	0.9894	0.9997	1.2369	0.9897
  D	1.1757	0.9741	0.9894	0	0.9843	0.9692	1.1538	1.3756	0.9812	0.9814	0.9698
  E	1.1377	0.988	1.18	0.9843	0	0.9825	0.9848	0.9843	0.996	1.1939	0.9846
  F	1.4877	0.9722	0.9873	0.9692	0.9825	0	0.9693	0.9692	0.9789	0.9799	0.9674
  G	1.3905	0.9743	0.9899	1.1538	0.9848	0.9693	0	1.1538	0.9813	0.9819	0.97
  H	1.1757	0.9741	0.9894	1.3756	0.9843	0.9692	1.1538	0	0.9812	0.9814	0.9698
  I	1.3253	1.2685	0.9997	0.9812	0.996	0.9789	0.9813	0.9812	0	0.9921	0.9797
  J	1.1787	0.9849	1.2369	0.9814	1.1939	0.9799	0.9819	0.9814	0.9921	0	0.9819
  K	2.0524	0.9728	0.9897	0.9698	0.9846	0.9674	0.97	0.9698	0.9797	0.9819	0

Actual rates from j->i (Q_ij):
	A	B	C	D	E	F	G	H	I	J	K
  A	0	0.1702	0.1741	0.1419	0.1373	0.1796	0.1679	0.1419	0.16	0.1423	0.2477
  B	0.1202	0	0.0846	0.0831	0.0842	0.0829	0.0831	0.0831	0.1082	0.084	0.083
  C	0.1219	0.0839	0	0.0836	0.0997	0.0834	0.0837	0.0836	0.0845	0.1045	0.0836
  D	0.1066	0.0883	0.0897	0	0.0892	0.0878	0.1046	0.1247	0.0889	0.0889	0.0879
  E	0.112	0.0973	0.1162	0.0969	0	0.0968	0.097	0.0969	0.0981	0.1176	0.097
  F	0.1235	0.0807	0.082	0.0805	0.0816	0	0.0805	0.0805	0.0813	0.0814	0.0803
  G	0.1216	0.0852	0.0866	0.1009	0.0861	0.0848	0	0.1009	0.0858	0.0859	0.0848
  H	0.1066	0.0883	0.0897	0.1247	0.0892	0.0878	0.1046	0	0.0889	0.0889	0.0879
  I	0.1163	0.1113	0.0877	0.0861	0.0874	0.0859	0.0861	0.0861	0	0.0871	0.086
  J	0.1063	0.0888	0.1115	0.0885	0.1076	0.0883	0.0885	0.0885	0.0894	0	0.0885
  K	0.167	0.0791	0.0805	0.0789	0.0801	0.0787	0.0789	0.0789	0.0797	0.0799	0
